User ID,Clothing ID,Age,Review Text,Rating,Recommended IND,Positive Feedback Count,Class Name
1000,2952,54,Material feels cheap.,3,1,19,Sweater
1001,2542,50,Size was too small.,4,0,7,Jeans
1002,2922,20,Color faded after first wash.,5,0,16,Shirt
1003,2734,38,Not worth the price.,4,1,2,Pants
1004,2045,27,Not worth the price.,3,1,2,T-shirt
1005,2847,21,Highly recommended!,2,1,18,Pants
1006,2630,42,Would buy again!,4,1,7,T-shirt
1007,2396,18,Highly recommended!,4,1,15,Jeans
1008,2104,42,Size was too small.,5,1,14,Pants
1009,2320,30,Amazing fit and stylish.,4,1,18,Dress
1010,2797,26,Amazing fit and stylish.,1,1,8,Pants
1011,2312,29,Highly recommended!,4,0,4,Blouse
1012,2497,22,Material feels cheap.,4,0,12,Skirt
1013,2210,39,Not worth the price.,5,1,7,Pants
1014,2987,44,Fabric is soft and comfortable.,3,1,11,Pants
1015,2539,39,Perfect for summer.,2,0,14,T-shirt
1016,2542,55,Highly recommended!,5,1,4,Jacket
1017,2633,30,Not worth the price.,3,1,18,Pants
1018,2785,33,Perfect for summer.,4,1,15,Jacket
1019,2893,55,Highly recommended!,3,0,3,Jeans
1020,2253,25,Would buy again!,4,0,19,Shirt
1021,2226,29,"Great quality, loved it!",3,0,18,Shirt
1022,2287,31,Color faded after first wash.,4,1,6,Skirt
1023,2441,29,Not worth the price.,5,0,20,Pants
1024,2678,22,Size was too small.,1,0,3,T-shirt
1025,2488,43,Material feels cheap.,4,0,13,T-shirt
1026,2922,35,"Great quality, loved it!",3,1,20,Blouse
1027,2317,22,"Great quality, loved it!",3,0,3,Shorts
1028,2749,59,Highly recommended!,2,0,15,Shirt
1029,2502,36,"Great quality, loved it!",2,0,3,T-shirt
1030,2716,21,Material feels cheap.,5,0,8,Shirt
1031,2708,48,Highly recommended!,4,1,10,Sweater
1032,2537,23,Not worth the price.,3,0,20,T-shirt
1033,2962,35,Would buy again!,5,1,1,Blouse
1034,2616,36,Fabric is soft and comfortable.,2,1,12,Jeans
1035,2066,45,Would buy again!,4,0,3,Jacket
1036,2805,58,Highly recommended!,3,0,7,Jeans
1037,2474,49,Would buy again!,5,1,19,Shirt
1038,2556,60,Size was too small.,2,0,0,Skirt
1039,2400,28,Highly recommended!,3,0,10,Jeans
1040,2966,28,Material feels cheap.,5,0,20,Pants
1041,2428,18,Fabric is soft and comfortable.,5,1,3,T-shirt
1042,2190,38,Amazing fit and stylish.,4,1,13,Jacket
1043,2251,52,Would buy again!,5,1,1,Pants
1044,2835,26,Amazing fit and stylish.,3,1,2,Jacket
1045,2214,19,Highly recommended!,5,0,20,Skirt
1046,2700,22,Size was too small.,4,0,18,Jeans
1047,2633,23,Material feels cheap.,5,1,15,Shorts
1048,2984,49,Amazing fit and stylish.,2,1,2,Sweater
